"Was ist die Kernidee der ""Multi-head Latent Attention"" (MLA)?",Die Tokens werden in einen niedrigdimensionalen latenten Vektor komprimiert und erst zur Berechnungszeit wieder in Keys und Values expandiert.
"Welches Problem bei der Verwaltung des KV-Caches löst der Ansatz von ""PagedAttention""?","Die Speicherfragmentierung durch die Zuweisung von festen, nicht-kontinuierlichen Speicherblöcken, ähnlich der virtuellen Speicherverwaltung in Betriebssystemen."
"Auf welcher grundlegenden Erkenntnis basiert das Verfahren des ""Speculative Decoding""?",Dass die parallele Verifizierung mehrerer Tokens durch ein großes Modell fast genauso viel Zeit kostet wie die sequentielle Generierung eines einzelnen Tokens.
"Inwiefern verbessert das ""Medusa""-Framework das klassische Speculative Decoding?","Es nutzt mehrere zusätzliche Vorhersageköpfe auf dem Originalmodell selbst, anstatt ein separates, externes Draft-Modell zu benötigen."
"Was kennzeichnet den ""Multi-token Prediction"" (MTP) Ansatz, wie er in DeepSeek-V3 verwendet wird?","Zusätzliche Module werden während des Trainings darauf trainiert, mehrere aufeinanderfolgende Tokens vorherzusagen, die bei der Inferenz als eingebaute Spekulationskette dienen."
"Wie erreicht ein ""Mixture-of-Experts"" (MoE) Modell eine höhere Kapazität bei gleichbleibenden Inferenzkosten?","Es besitzt zwar sehr viele Parameter, aber ein Router aktiviert pro Token nur eine kleine Teilmenge (Top-k) der verfügbaren Experten-Netzwerke."
"Was ist der Unterschied zwischen ""Mixture-of-Experts"" (Breite) und ""Mixture-of-Depths"" (Tiefe)?","MoE wählt zwischen spezialisierten Netzwerken innerhalb einer Schicht, während MoD entscheidet, ob ein Token eine Schicht verarbeitet oder diese komplett überspringt."
"Wie funktioniert das ""Early Exit""-Prinzip beim adaptiven Rechnen?","Ein Token verlässt den Transformer-Stack vorzeitig, sobald eine Schicht eine ausreichende Konfidenz für die Vorhersage erreicht hat."
Warum ist der Datentransfer zwischen GPU HBM und SRAM ein kritischer Flaschenhals?,Die Bandbreite des HBM (ca. 3 TB/s) ist um Größenordnungen langsamer als die des chipinternen SRAM (ca. 19 TB/s).
"Was beschreibt der Begriff ""Dequantisierung"" im Kontext von GPU-Kernels?",Das Zurückführen von quantisierten Werten (z. B. INT4) in ein Gleitkommaformat (z. B. FP16) unmittelbar vor der Berechnung im Rechenkern.
Warum ist das Laden des KV-Caches bei langen Sequenzen oft zeitkritischer als das Laden der Modellgewichte?,"Während die Gewichte bei jedem Schritt gleich bleiben, wächst der KV-Cache linear mit der Sequenzlänge und belegt zunehmend mehr Speicherbandbreite."
"Welche mathematische Eigenschaft der Softmax-Funktion ermöglicht das ""Tiling"" in FlashAttention?","Die Zerlegbarkeit der Exponentialfunktion, die es erlaubt, Maxima schrittweise über Teilblöcke zu aktualisieren ($exp(s - m_{new}) = exp(s - m_{old}) \cdot exp(m_{old} - m_{new})$)."
Wie beeinflusst Batching die Ausnutzung der Speicherbandbreite?,"Es erhöht die Wiederverwendung geladener Gewichte für mehrere Datenpunkte gleichzeitig, was die Arithmetic Intensity des gesamten Systems steigert."
"Was ist der Vorteil von ""LayerSkip"" während der Inferenz?",Berechnungen mit reduzierter Tiefe können als schnelle Entwürfe (Drafts) für eine parallele Spekulationsprüfung durch das volle Modell genutzt werden.
"Welchen Kompromiss geht man mit ""Multi-Query Attention"" (MQA) ein?","Man gewinnt massive Einsparungen beim KV-Cache und der Bandbreite, verliert jedoch an Modellqualität im Vergleich zur Standard-Attention."
"Was versteht man unter ""Conditional Compute"" bei LLMs?","Verfahren, bei denen die tatsächlich ausgeführte Rechenmenge dynamisch in Abhängigkeit von der Komplexität des jeweiligen Eingabetokens variiert."
Warum ist die Optimierung des KV-Caches für das Servieren von LLMs in der Cloud so wichtig?,"Ein kleinerer KV-Cache pro Nutzer ermöglicht es, deutlich mehr parallele Anfragen auf derselben Hardware zu verarbeiten (höherer Durchsatz)."
